DEPNO	LONGITUDE	LATITUDE	COUNTRY	LOCATION	ALLNAMES	COMMODITIES	DEPCLAN	DBNAME	COMPBY	RELDATE	URL	TITLE
500013	133.866667	-23.816667	Australia (Northern Territory)	23.49 S -- 133.52 E	Angela; Pamela Deposits	U; V	Sandstone	Canadian U-Th-REE deposits and occurrences	S.S. Gandhi, N. Prasad, L.B. Chorlton, C. Richer and D.R. Lentz	2015-11-27	Y:\ChurchillProject\Uranium\Open File 7854\Data321\Geospatial_Data\dg\dp500013.html	U-Th-REE deposits & occurrences, v.3.7n
500016	131.050000	-22.200000	Australia (Northern Territory)	22.12 S -- 131.03 E	Bigrlyi	U; V	Sandstone	Canadian U-Th-REE deposits and occurrences	S.S. Gandhi, N. Prasad, L.B. Chorlton, C. Richer and D.R. Lentz	2015-11-27	Y:\ChurchillProject\Uranium\Open File 7854\Data321\Geospatial_Data\dg\dp500016.html	U-Th-REE deposits & occurrences, v.3.7n
500020	132.916667	-12.583333	Australia (Northern Territory)	12.35 S -- 132.55 E	Hades Flat	U	Unconformity-associated	Canadian U-Th-REE deposits and occurrences	S.S. Gandhi, N. Prasad, L.B. Chorlton, C. Richer and D.R. Lentz	2015-11-27	Y:\ChurchillProject\Uranium\Open File 7854\Data321\Geospatial_Data\dg\dp500020.html	U-Th-REE deposits & occurrences, v.3.7n
500586	132.895833	-12.501944	Australia (Northern Territory)	12.30.07 S -- 132.53.45 E	Jabiluka 1	U	Unconformity-associated	Canadian U-Th-REE deposits and occurrences	S.S. Gandhi, N. Prasad, L.B. Chorlton, C. Richer and D.R. Lentz	2015-11-27	Y:\ChurchillProject\Uranium\Open File 7854\Data321\Geospatial_Data\dg\dp500586.html	U-Th-REE deposits & occurrences, v.3.7n
500585	132.913056	-12.498889	Australia (Northern Territory)	12.29.56 S -- 132.54.47 E	Jabiluka 2	U; Au	Unconformity-associated	Canadian U-Th-REE deposits and occurrences	S.S. Gandhi, N. Prasad, L.B. Chorlton, C. Richer and D.R. Lentz	2015-11-27	Y:\ChurchillProject\Uranium\Open File 7854\Data321\Geospatial_Data\dg\dp500585.html	U-Th-REE deposits & occurrences, v.3.7n
500587	132.840000	-12.870000	Australia (Northern Territory)	12.52.12 S -- 132.50.24 E	Koongarra; Koongarra 1; Koongarra 2	U; Au; Cu	Unconformity-associated	Canadian U-Th-REE deposits and occurrences	S.S. Gandhi, N. Prasad, L.B. Chorlton, C. Richer and D.R. Lentz	2015-11-27	Y:\ChurchillProject\Uranium\Open File 7854\Data321\Geospatial_Data\dg\dp500587.html	U-Th-REE deposits & occurrences, v.3.7n
500590	133.320000	-12.311111	Australia (Northern Territory)	12.18.40 S -- 133.19.12 E	Nabarlek	U	Unconformity-associated	Canadian U-Th-REE deposits and occurrences	S.S. Gandhi, N. Prasad, L.B. Chorlton, C. Richer and D.R. Lentz	2015-11-27	Y:\ChurchillProject\Uranium\Open File 7854\Data321\Geospatial_Data\dg\dp500590.html	U-Th-REE deposits & occurrences, v.3.7n
500035	132.866667	-22.750000	Australia (Northern Territory)	22.45 S -- 132.52 E	Napperby	U	Surficial	Canadian U-Th-REE deposits and occurrences	S.S. Gandhi, N. Prasad, L.B. Chorlton, C. Richer and D.R. Lentz	2015-11-27	Y:\ChurchillProject\Uranium\Open File 7854\Data321\Geospatial_Data\dg\dp500035.html	U-Th-REE deposits & occurrences, v.3.7n
500039	132.916111	-12.690833	Australia (Northern Territory)	12.41.27 S -- 132.54.58 E	Ranger 1; Ranger 1 No. 1 Orebody; Jabiru	U	Unconformity-associated	Canadian U-Th-REE deposits and occurrences	S.S. Gandhi, N. Prasad, L.B. Chorlton, C. Richer and D.R. Lentz	2015-11-27	Y:\ChurchillProject\Uranium\Open File 7854\Data321\Geospatial_Data\dg\dp500039.html	U-Th-REE deposits & occurrences, v.3.7n
500588	132.866667	-12.516667	Australia (Northern Territory)	12.31.00 S -- 132.52.00 E	Ranger 68	U; Cu	Unconformity-associated	Canadian U-Th-REE deposits and occurrences	S.S. Gandhi, N. Prasad, L.B. Chorlton, C. Richer and D.R. Lentz	2015-11-27	Y:\ChurchillProject\Uranium\Open File 7854\Data321\Geospatial_Data\dg\dp500588.html	U-Th-REE deposits & occurrences, v.3.7n
